Gender,Age,Married,Number of Dependents,City_0,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type_0,Internet Type_1,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
0,37,1,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,0,1,0,1,16,0,1,1,0,0,1,2,593.3,0,0,381.51
1,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,1,1,0,1,10,0,0,0,1,1,0,1,542.4,38.33,10,96.21
1,50,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,1,1,0,30,1,0,0,0,0,1,1,280.85,0,0,134.6
1,78,1,0,0,0,0,0,0,0,0,0,1,0,0,1,13,1,0,1,1,0,4,1,0,1,1,0,1,1,1237.85,0,0,361.66
0,75,1,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0,1,1,0,11,0,1,1,0,0,1,1,267.4,0,0,22.14
0,23,0,3,0,0,0,0,0,0,0,0,1,1,0,0,9,1,0,1,0,1,73,0,1,1,1,1,1,1,571.45,0,0,150.93
0,67,1,0,0,0,0,0,0,0,0,0,1,1,1,1,71,1,0,1,1,0,14,1,1,1,1,1,1,3,7904.25,0,0,707.16
1,52,1,0,0,0,0,0,0,0,0,1,0,0,0,8,63,1,1,1,1,0,7,0,1,0,0,0,0,3,5377.8,0,20,816.48
0,68,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,1,1,1,21,0,0,0,0,0,1,3,340.35,0,0,73.71
0,43,1,1,0,0,0,0,0,0,0,1,0,1,0,3,65,1,1,1,0,1,14,1,1,1,1,1,1,3,5957.9,0,0,1849.9
1,47,0,0,0,0,0,0,0,0,0,1,0,1,1,0,54,0,0,1,0,1,10,0,1,1,0,0,1,3,2460.55,0,0,0
0,25,1,2,0,0,0,0,0,0,0,1,1,0,0,2,72,1,1,1,1,0,59,1,1,1,1,1,1,3,8456.75,0,0,1152.72
0,58,1,0,0,0,0,0,0,0,0,1,1,0,1,0,5,1,0,1,1,0,10,0,0,0,0,0,1,1,351.5,0,0,93.25
0,32,0,0,0,0,0,0,0,0,0,1,1,1,0,0,72,1,1,1,1,0,16,1,0,1,0,0,1,3,7261.25,0,0,162
0,39,0,0,0,0,0,0,0,0,0,1,1,1,1,0,56,0,0,1,1,1,19,1,1,0,0,0,1,3,2560.1,0,0,0
0,58,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,79,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,79,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,26,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,34,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,47,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,48,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,28,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,31,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,37,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,60,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,48,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,64,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,35,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,78,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,30,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
